CHV,synonym
C0037579,"of soft tissue tumor,soft tissue tumors,soft tissue tumour,soft tissue tumours,soft tissues tumors,soft tissues tumours"
C0037580,soft swelling tissue
C0037585,"computer programs,computer software,software"
C0037587,design software
C0037592,soils
C0037605,"energy solar,solar radiation"
C0037628,solubilities
C0037633,"solution,solutions"
C0037638,solvents
C0037650,"disorder somatoform,psychogenic disorder,psychogenic disorders,psychogenic syndrome,somatoform disorders"
C0037657,"factor growth insulin-like,insulin like growth factors,insulin-like growth factor,insulin-like growth factors,insulinlike growth factor,somatomedins"
C0037659,"somatostatins,srif"
C0037663,"GH,growth hormones,pituitary growth hormone,somatotrophin,somatotropic hormone,somatotropin"
C0037668,"ghrh,growth hormone releasing factor,growth hormone releasing hormone,somatocrinin,somatotropin-releasing factor (SRF),srf"
C0037669,"body build,body building,body builds,body type,somatotype,somatotypes"
C0037672,"sleep walk,sleep walking,sleep walking disorder,sleeping walking,sleepwalk,sleepwalked,sleepwalking disorder,somnambulation,somnambulism,somnanbulism"
C0037683,sons
C0037688,d-glucitol
C0037703,"so system,sos response"
C0037709,"sounded,soundings,sounds"
C0037710,localization sound
C0037713,america south
C0037716,carolina south
C0037717,dakota south
C0037722,southeast u s
C0037732,"soy bean oil,soy oil"
C0037733,"soy beans,soya,soya bean,soyabean,soybean"
C0037741,"flight space,space flight,space flights"
C0037744,spatial orientation
C0037750,language spanish
C0037763,"muscle spasm,muscle spasms,muscular spasm,muscular spasms,spasms"
C0037766,"antispasmodic agent,antispasmodic agents,antispasmodic drug,antispasmodic drugs,antispasmodics,spasmolytic,spasmolytics"
C0037769,"hypsarrhythmia,infantile spasm,salaam attacks,salaam seizures,spasm infantile,syndrome west,west syndrome,west's syndrome"
C0037771,spastic parapareses
C0037772,paralysis spinalis spastica
C0037773,"hereditary spastic paraplegias,spastic paraplegia hereditary"
C0037775,distributions
C0037778,"field medical science,medical specialities,medical speciality,medical specialty,specialties medical"
C0037779,specialty nursing
C0037781,"specialty surgical,surgical specialties"
C0037786,gravity specific
C0037789,"disorder reading,disorders reading,reading disorders"
C0037793,"caring specimens,handling specimen,handling specimens,specimen processing"
C0037812,spectrum analysis
C0037813,mass spectroscopy
C0037816,"specula,speculums"
C0037817,speech function
C0037822,"defects speech,disorder speech,disorders speech,speech defect,speech disorder"
C0037825,"language pathology speech,pathology speech-language,speech-language pathology"
C0037831,speech therapy
C0037840,"banking sperm,sperm bank"
C0037842,"sperm count,sperm counts"
C0037846,"maturation sperms,maturations sperms"
C0037848,"motility sperm,sperm mobility"
C0037850,penetration sperm
C0037855,cord spermatic
C0037856,"cord spermatic torsion,spermatic cord torsion,testicle torsion,testicles torsion,testis torsion,torsion of testicle,torsion of testis,torsion of the testis,torsion testis"
C0037859,"cyst epididymal,cyst epididymis,cyst of epididymis,cysts epididymal,cysts epididymis,epididymis cyst,spermatoceles,spermatocoele"
C0037862,"spermicidal agents,spermicidal contraceptives,spermicides"
C0037866,cells spermatogonia
C0037868,"cell sperm,cells sperm,cells sperms,sperm cell,spermatozoa,spermatozoon,sperms"
C0037884,"bone sphenoid,sphenoid bone,sphenoid bones,sphenoids"
C0037885,"sinus sphenoid,sinus sphenoidalis,sinuses sphenoid,sphenoid sinuses,sphenoidal sinus"
C0037886,sinusitis sphenoid
C0037887,"sluder's neuralgia,sluder's syndrome"
C0037888,spherocyte
C0037889,"congenital spherocytosis,familial spherocytosis,spherocytic anemia,spherocytic hemolytic anemia,spherocytosis hereditary"
C0037890,spheroplast
C0037900,sphingolipid
C0037910,spice
C0037912,"poison spider,poison spiders,spider venoms"
C0037913,spiders
C0037914,"labeling spin,spin label"
C0037917,spina bifida aperta
C0037922,canal spinal
C0037925,"medulla spinalis,spinal cords"
C0037926,"compression cord spinal,compression of spinal cord,compression spinal cord,cord compression,spinal cord compressions"
C0037928,"myelopathies,myelopathy,spinal cord diseases,spinal cord disorder,spinal cord disorders"
C0037929,"spinal cord injuries,spinal cord trauma"
C0037930,"spinal cord neoplasm,spinal cord tumors,spinal tumor,spinal tumors,spinal tumour,spinal tumours"
C0037932,"curvature of spine,curvature spinal,curvature spine,spinal curvatures,spine curvature"
C0037933,"disorder of spine,spinal diseases,spinal disorder,spine disease,spine disorder,spondylopathies,spondylopathy"
C0037934,"fluid pressure spinal,spinal fluid pressures"
C0037935,"spinal arthrodesis,spinal fusion,spinal fusions,spondylosyndesis,vertebra fusion"
C0037937,"injuries spinal,injuries spine,injuries vertebral,injury spinal,injury spine,spinal injuries,spine injury,vertebral injury"
C0037940,"root spinal,spinal nerve roots,spinal root"
C0037941,"nerve spinal,nerves spinal,spinal nerve"
C0037943,"diagnostic spinal tap,lumbar puncture,lumbar punctures,spinal tap,spinal tapping,spinal taps"
C0037944,spinal stenosis
C0037949,"backbone,backbones,spinal column,spines,vertebral column"
C0037952,"spino cerebellar degeneration,spino-cerebellar degeneration,spinocerebellar degenerations,spinocerebellar disease"
C0037953,spinothalamic tracts
C0037962,spiramycine
C0037970,spirochaeta
C0037973,"spirochaetales,spirochetes"
C0037974,"disease spirochetal,spirochaetal infection,spirochaetosis,spirochetal infection"
C0037981,"spirometry testing,spirometry tests"
C0037982,"spirolactone,spirolactones"
C0037990,mesenteric circulation
C0037991,splanchnic nerve
C0037993,"spleens,splenic,spleno"
C0037995,"splenectomies,splenectomy"
C0037996,artery splenic
C0037997,"disease spleen,disease splenic,diseases of spleen,diseases of the spleen,disorder spleen,disorders spleen,of spleen disease,spleen disease,spleen disorder,spleen disorders,splenic disease,splenic diseases"
C0037998,"infarct spleen,infarcted spleen,infarction spleen,infarction splenic,infarcts splenic,spleen infarct,spleen infarction,splenic infarct"
C0037999,"spleen tumor,spleen tumors,spleen tumour,spleen tumours,tumour spleen"
C0038000,"rupture of spleen,rupture spleen,rupture splenic,ruptures spleen,spleen fragmentation,spleen rupture,spleen ruptured,splenic rupture"
C0038002,"enlarg spleen,enlargement of spleen,enlargement spleen,large spleen,spleen enlarged,spleen enlargement,spleen large,splenomegaly"
C0038003,splenoportogram
C0038009,"splint,splints"
C0038012,spondylitis
C0038013,"arthritis rheumatoid spine,bechterew disease,bechterew's disease,marie strumpell disease,marie-strumpell disease,rheumatoid spondylitis,spine rheumatoid arthritis,spondylarthritis ankylopoietica,spondylitis ankylosing"
C0038015,spondyloepiphyseal dysplasias
C0038016,"spondylisthesis,spondylolistheses"
C0038018,spondylolyses
C0038019,spondyloses
C0038020,spondylosis deformans
C0038027,"reproduction spores,spores"
C0038028,"bacterial spores,endospores"
C0038033,"sporothrix schenkii,sporotrichum schenckii"
C0038034,schenck disease
C0038038,sporozoa
C0038039,"activity sport,sport,sported,sporting,sports activities,sports activity"
C0038040,"medicine sport,medicine sports,sport medicine"
C0038041,"fever spots,fever spotted,spotted fever"
C0038044,"abuse spousal,abuse spouse,battered spouse syndrome,spouse abuse"
C0038045,sprain nos
C0038048,"sprain strain,sprain strains,sprains strain,strain sprain,strains sprains"
C0038054,"diarrhea tropical,sprue tropical,tropical diarrhea"
C0038076,squashed
C0038077,squatter
C0038088,"ceylon,lanka sri"
C0038118,stachybotry
C0038122,attitudes staff
C0038123,development staff
C0038128,"stain,stains"
C0038131,stammer
C0038138,"binet testing,stanford-binet test"
C0038148,"5 alpha-dihydrotestosterone,stanolone"
C0038149,stanazolol
C0038152,stirrup
C0038159,staphylococcal food poison
C0038160,"staph infection,staphylococcal diseases,staphylococcal infection,staphylococcal infections,staphylococcosis,staphylococcus infection"
C0038164,a protein
C0038165,"ritter disease,ritter's disease,ritters disease,scald skin syndrome,scalding skin syndrome,skin scalded syndrome,staph scalded skin syndrome"
C0038166,"infection skin staphylococcal,staphylococcal skin infections"
C0038170,staphylococcus
C0038172,"s. aureus,staph aureus,staphylococcus aureus"
C0038174,"s. epidermidis,staphylococcus albus,staphylococcus epidermidis albus"
C0038191,"governments state,state government"
C0038194,health planning state
C0038195,medicine socialized
C0038199,state of the art reviews
C0038208,statistical study
C0038215,statistical
C0038218,"acute severe asthma,asthma asthmaticus status,asthmatic crisis,asthmaticus status,severe acute asthma"
C0038220,epilepticus status
C0038225,"steamed,steaming"
C0038229,acid stearic
C0038238,"fatty stool,fatty stools,steatorrhoea,stool fatty"
C0038239,"steeling,steels"
C0038246,"cervicothoracic ganglions,ganglion stellate,stellate ganglia"
C0038250,"blast cell,blast cells,cell progenitor,cell progenitors,cells progenitors,cells stems,hemocytoblast,hemocytoblasts,mother cell,mother cells,progenitor cell,progenitor cells,stem cells"
C0038257,"stented,stenting,stents"
C0038271,"movements stereotyped,stereotyped behavior"
C0038272,"stereotype,stereotyped"
C0038273,"movements stereotyped,stereotyped movement,stereotyped movement disorder,stereotypes,stereotypic movement disorder,stereotypy"
C0038287,"compulsory sterilization,forced sterilizations,involuntary sterilization"
C0038288,"sterilisation,sterilization"
C0038289,"occlusion tubal,sterilization tubal,tubal occlusion,tubal sterilisation"
C0038291,"articulatio sternoclavicularis,joint sternoclavicular"
C0038293,"sternum,sternums"
C0038296,"11 beta hydroxylase,11 beta-hydroxylase"
C0038302,"17 alpha hydroxylase,17 hydroxylase,alpha 17 hydroxylase"
C0038304,"21-hydroxylase,hydroxylase 21"
C0038317,steroids
C0038323,sterol
C0038325,"bullous erythema multiforme,erythema multiforme exudativum,erythema multiforme major,johnson reaction stevens,johnson steven syndrome,johnson stevens syndrome,johnsons steven syndrome,johnsons stevens syndrome,steven johnson syndrome,steven johnsons syndrome,steven jonhson syndrome,stevens johnson syndrome,stevens johnsons syndrome"
C0038333,stilbenes
C0038340,"sting,stings"
C0038348,"antiembolic stocking,antiembolic stockings,compression stocking,compressions stockings,hose support,stocking support"
C0038351,"gaster,gastric,gastro,stomachs"
C0038352,"contents gastric,contents stomach,gastric content,gastric contents,stomach content"
C0038353,"dilatation stomach,dilated stomach,dilation gastric,dilation stomach,distended stomach,gastric dilation,stomach dilatation,stomach dilation,stomach distended"
C0038354,"disease of stomach,diseases of the stomach,gastric disease,gastric disorder,gastropathy,stomach diseases,stomach disorder,stomach disorders"
C0038355,"diverticula stomach,diverticulum stomach,stomach diverticulum"
C0038356,"cancer stomach tumors,gastric mass,gastric neoplasm,gastric neoplasms,gastric tumor,gastric tumors,neoplasm gastric,neoplasm of stomach,of stomach tumor,stomach neoplasm,stomach neoplasms,stomach tumors,stomach tumour,stomach tumours,tumor gastric,tumor of stomach"
C0038357,"gastric rupture,rupture stomach"
C0038358,"gastric ulcer,gastric ulcer disease,gastric ulceration,gastric ulcerations,gastric ulcers,stomach ulcers,ulcus ventriculi"
C0038359,"stomach volvulus,volvulus of stomach,volvulus stomach"
C0038362,oral mucositis
C0038363,"aphtha,aphthae,aphthous oral ulcers,aphthous stomatitis,aphthous ulcer,aphthous ulceration,aphthous ulcerations,aphthous ulcers,canker sore,canker sores,cankers sores,oral aphthae,oral aphthous ulcer,oral aphthous ulcers,oral canker sores"
C0038366,"herpes oral simplex,herpes simplex oral,herpes stomatitis,oral herpes simplex"
C0038379,"deviations eye,heterotropia,phoria,phorias,squint,strabismus"
C0038382,"datura stramonium,jimsonweed,stramonium,thorn apple,thornapple"
C0038388,"drugs street,street drug"
C0038395,"strep infection,streptococcal infection,streptococcal infections,streptococcus infection"
C0038402,"streptococcus,streptococcus organism"
C0038404,"enterococcus fecalis,enterocoque,streptococcus faecalis,streptococcus fecalis,streptococcus group d"
C0038408,lactococcus lactis
C0038409,"mutan streptococcus,mutans streptococcus"
C0038410,"diplococcus pneumoniae,pneumococcal,pneumococcus,s. pneumoniae,streptococcus pneumoniae"
C0038411,"group streptococcus,pyogenes s,pyogenes s.,pyogenes strep,pyogenes streptococcus,s. pyogenes,strep pyogenes,streptococcus group,streptococcus group a"
C0038426,"streptomycin sulphate,sulfate streptomycin"
C0038432,"streptozotocin,stz"
C0038435,stressed
C0038436,"post traumatic stress disorder,post traumatic stress disorders,post traumatic stress syndrome,post-traumatic stress disorder,post-traumatic stress disorders,post-traumatic stress syndrome,posttraumatic stress disorder,posttraumatic stress disorders,PTSD"
C0038437,"female incontinence stress,stress incontinence female"
C0038441,"stress disorder,stress disorders"
C0038443,"life stress,mental stress,psychological stress,stress mental"
C0038446,area striata
C0038449,"arterial stricture,arteries stenosis,arteries stricture,artery stenosis,stenosis artery,stenosis of artery"
C0038450,stridors
C0038452,"strikes,striking"
C0038454,"apoplexy,cerebral stroke,cerebral vascular accident,cerebrovascular accident,cerebrovascular accidents,cerebrovascular stroke,CVA,stroke cerebral,strokes,vascular brain accident,vascular cerebral accident"
C0038455,cardiac stroke volume
C0038463,"strongylodiasis,strongyloides infection,strongyloidosis"
C0038476,accessory organs
C0038477,"activity relationship structure,activity relationships structure,chemical structure function"
C0038478,ovary tumor thyroid
C0038492,students
C0038493,dental student
C0038495,medical students
C0038496,"nursing students,student nurse"
C0038505,"neurocutaneous syndrome,parkes weber syndrome,sturge syndrome weber,sturge weber disease,sturge weber syndrome,sturge-weber disease,sturge-weber syndrome,sturges syndrome weber,sturges weber syndrome,syndrome webers,webers syndrome"
C0038506,"stutter,stuttered,stutters"
C0038515,styrol
C0038519,prophylaxis sbe
C0038522,sspe
C0038525,"hemorrhage subarachnoid,subarachnoid haemorrhage,subarachnoid hemorrhages"
C0038527,"space subarachnoid,spaces subarachnoid,subarachnoidal"
C0038529,"cyst subchondral,cysts subchondral,subchondral cysts"
C0038530,"arteria subclavia,subclavian arteries"
C0038531,"artery stenosis subclavian,steal subclavian syndrome,subclavian artery stenosis"
C0038532,"subclavian veins,vena subclavia"
C0038534,"bleeding subconjunctival,hemorrhage subconjunctival,hemorrhages subconjunctival,subconjunctival haemorrhage"
C0038536,emphysema subcutaneous
C0038538,"effusion subdural,effusions subdural"
C0038539,subdural abscess
C0038541,subdural space
C0038545,subject heading
C0038553,"glands sublingual,sublingual glands"
C0038556,"gland submandibular,gland submaxillary,glands submandibular,submandibular glands,submaxillary gland"
C0038558,"gland submandibular tumor,gland submandibular tumors,submandibular gland tumour"
C0038564,submucosal plexus
C0038565,subdiaphragmatic abscess
C0038577,"drug abuse detection,drug abuse screen,drug abuse screening,drug abuse testing,drug test,drug tested,drug testing,drug tests,drugs test,drugs testing,drugs tests,narcotic screen,narcotic screening,substance abuse detection,substance abuse screening,substance abuse test,substance abuse testing,test drug"
C0038580,"addiction chemical,addictions substance,chemical addiction,chemical dependence,chemical dependencies,dependence substance,dependence substances,substance dependence"
C0038581,neurokinin
C0038585,"neurokinin 1,p substance"
C0038586,"disorder substance use,substance use disorders"
C0038587,"substance withdrawal syndrome,syndromes withdrawal"
C0038590,substantia nigras
C0038593,"joint subtalar,talocalcaneal joint"
C0038615,fumarate hydrogenase
C0038617,succinates
C0038623,succinimides
C0038627,suxamethonium
C0038636,saccharose
C0038638,suctioning
C0038640,"liposuction procedure,suction lipectomy"
C0038642,sudans
C0038644,"cot death,crib death,crib deaths,SIDS,sudden infant death,sudden infant death syndrome"
C0038654,"alcohol sugar,alcohol sugars,sugar alcohols"
C0038659,suggestion
C0038661,suicides
C0038663,"attempt suicide,attempted suicide,attempts suicides,suicide attempts"
C0038670,sulphacetamide
C0038672,sulfachloropyridazine
C0038675,sulphadiazine
C0038676,sulphadimethoxine
C0038679,sulphadoxine
C0038681,sulphaguanidine
C0038686,"sulfadimidine,sulphadimidine"
C0038689,"sulfisomezole,sulphamethoxazole"
C0038693,sulphamethoxypyridazine
C0038702,sulphanilamide
C0038706,sulphaphenazole
C0038710,"sulphapyridin,sulphapyridine"
C0038717,"arylsulfatase,sulfatase"
C0038727,sulfatides
C0038734,"groups sulfhydryl,mercaptan,mercaptans,sulfhydryl,sulphydryl,thiols"
C0038739,"sulfides,sulphide,sulphides"
C0038745,"sulfafurazole,sulfasoxizole,sulphafurazole"
C0038750,"sulfite,sulphite,sulphites"
C0038753,"bromosulfophthalein,bromosulphthalein"
C0038757,"allergies drug sulfa,allergies drugs sulpha,allergies sulfa,allergies sulfonamide,allergy drug sulfa,allergy drug sulpha,allergy sulfa,allergy sulfas,allergy to sulfa drugs,sulfa drugs allergy,sulfonamide allergy"
C0038760,"sulfonamide,sulfonilamide,sulphonamide,sulphonamides"
C0038761,sulfones
C0038762,acid sulfonic
C0038766,"sulfonylureas,sulphonylurea,sulphonylureas"
C0038774,sulfurs
C0038775,"acid sulfur,sulfur acid"
C0038776,"compound sulphur,sulfur compound,sulphur compound"
C0038777,"so2,sulphur dioxide"
C0038779,sulphur hexafluoride
C0038782,oxide sulfur
C0038784,"acid sulfuric,acid sulphuric,sulphuric acid"
C0038803,sulperide
C0038807,sultiam
C0038813,"sun bathing,sun tan"
C0038814,"solar dermatitis,solar erythema"
C0038818,"sunscreen agents,sunscreens"
C0038819,"siriasis,stroke sun,strokes sun,sun stroke,sunstrokes"
C0038826,"superimposed infection,superinfections"
C0038833,"cava superior syndromes vena,caval obstruction superior vena,superior vena cava obstruction,superior vena caval obstruction,superior vena caval syndrome,svc obstruction,svc syndrome,vena cava superior syndrome"
C0038836,superoxide radical
C0038838,"sod,super oxide dismutase,superoxide dismutase"
C0038841,superstition
C0038846,"back lying,dorsal position,dorsal positions,supine position"
C0038848,supplies
C0038854,"drugs suppository,suppositories,suppository drug"
C0038856,"cells suppressor t,suppressor cell,t cell suppressor"
C0038862,"inflammation purulent,purulent inflammation,suppurative inflammation"
C0038866,nucleus suprachiasmatic
C0038868,"palsy progressive supranuclear,supranuclear progressive palsy"
C0038877,"court decision supreme,supreme court decision"
C0038879,nerve sural
C0038889,surfactant
C0038891,"surfactant,surfactants"
C0038897,surgery cardiovascular
C0038899,"ear surgeries,ears surgery"
C0038902,"gynecologic surgeries,gynecologic surgery,gynecological surgeries"
C0038903,"lung operation,lung operations,lung surgeries,lungs surgery,operation lung,surgery lung"
C0038904,"minor surgeries,surgery minor"
C0038908,"maxillofacial surgery,oral surgery"
C0038911,"plastic surgeries,plastic surgery"
C0038913,"urinary tract surgery,urologic surgical procedures"
C0038916,surgical clamp
C0038917,"clipping surgical,clips surgical,surgical clip"
C0038923,"equipment surgery,equipment surgical,equipments surgical,surgery equipment,surgical equipments"
C0038924,errors surgical
C0038925,"flap,flaps,surgical flap"
C0038928,"instruments operative,instruments surgical,surgical instrument"
C0038930,mesh surgical
C0038931,"nursing surgical,surgical nursing"
C0038937,surgical sponges
C0038941,"incisional infections,infected surgical wounds,infection surgical wound,infection surgical wounds,infections surgical wounds,postoperative wound infection,postoperative wound infections,surgical wound infections"
C0038947,"gestational carrier,mothering surrogate,surrogate mother"
C0038949,"method surveys,methodologies survey,methodology survey,methodology surveys,survey method"
C0038952,survivals
C0038953,analyses survival
C0038954,survival rates
C0038960,"suspension,suspensions"
C0038967,"granuloma suture,granulomas suture"
C0038968,"suture technique,suture techniques,suturing technique,suturing techniques"
C0038969,"surgical sutures,suture,sutures"
C0038975,"simian virus 40,sv40,sv40 virus"
C0038984,perspiration
C0038986,"diseases glands sweat,sweat gland disease,sweat gland disorder,sweat glands disorders"
C0038987,"gland neoplasm sweat,gland sweat neoplasms,gland sweat tumor,gland sweat tumors,sweat gland tumour"
C0038989,"sudoriferous gland,sweat glands"
C0038990,"hidrosis,perspiration,perspiring,sweat,sweating symptom,sweating symptoms,sweats"
C0038992,"disease sweating,diseases sweating,fever sweating"
C0038994,gustatory sweating syndrome
C0038998,"sweetener,sweetening agents"
C0038999,"bulge,bulging,swell,swelled,swelling,swellings,swells,swollen,tumefaction,tumefactions,tumescence"
C0039003,swim
C0039004,"pool swimming,pools swimming,swimming pools"
C0039005,"boar,pigs,porcine,swine"
C0039010,"swine vesicular disease,swine vesicular disease (SVD)"
C0039011,"mini pig,mini pigs"
C0039013,swing beds
C0039029,symbioses
C0039038,"surgical sympathectomy,sympathetic denervation"
C0039043,"blocks sympathetic,sympathetic block,sympathetic nerve blocks"
C0039044,"nervous sympathetic system,nervous system sympathetic"
C0039051,"sympathetic blocking agents,sympatholytic drugs,sympatholytics"
C0039052,"sympathomimetic agent,sympathomimetic agents,sympathomimetic drug,sympathomimetic drugs,sympathomimetics"
C0039062,"synapses,synapsis"
C0039065,synaptic vesicle
C0039067,"synaptoneurosome,synaptosome"
C0039070,"attacks fainting,attacks syncopal,collapse syncope,disorders syncope,faint,fainted,fainting attacks,fainting episodes,fainting syncope,faintness,faints,falls out,out pass,out passed,out passes,pass out,passed out,swoon,swooning,swoons,syncope,syncope attack,syncope collapse,syncope fainting,syncopes"
C0039075,"symphalangism,syndactylia,syndactylies,syndactylism"
C0039082,syndromes
C0039093,"synostose,synostoses"
C0039097,"fluid joint,fluid joints,fluid joints synovial,fluid synovial,fluids synovial,joint fluid,synovia,synovial fluids"
C0039099,"membrane synovial,synovial membrane,synovial membranes,synovial tissue"
C0039101,"sarcoma synovial,synovioma"
C0039106,"pigmented synovitis villonodular,villonodular synovitis"
C0039128,"lues,luetic disease"
C0039131,syphilis congenital
C0039133,syphilis latent
C0039142,syringes
C0039152,analysis system
C0039154,system theory
C0039185,"t 2 toxins,t2 mycotoxin"
C0039194,"t cell,t cells,t lymphocytes,t-cell,t-cells,t-lymphocyte,t-lymphocytes"
C0039195,"cells killer t,cytotoxic t cell,cytotoxic t lymphocyte,killer t cells"
C0039215,"cd4 cell,cd4 cells,cd4 lymphocyte,cd4 lymphocytes,lymphocytes cd4,lymphocytes t4,t4 cell,t4 lymphocyte"
C0039223,"disease duchenne,dorsalis neurosyphilis tabes,dorsalis tabes,duchenne disease,duchenne's disease"
C0039224,"table [furniture],tables"
C0039225,"medicine tablets,medicines tablet,product tablet,tableting,tablets"
C0039227,taboo
C0039231,"fast heart rate,fast pulse,high pulse rate,increased heart rate,increased pulse rate,rapid heart beat,rapid heart rate,rapid pulse,tachycardia"
C0039234,atrial ectopic tachycardia
C0039235,junctional ectopic tachycardia
C0039236,"episodic tachycardia,tachycardia paroxysmal"
C0039239,"sinu tachycardia,tachycardia sinus"
C0039240,"supraventricular tachycardias,tachycardia supraventricular"
C0039245,"tetrahydroaminoacridine,tha"
C0039247,tadjikistan
C0039249,"taenia,taenias,tenias"
C0039251,"pork tapeworm,solium taenia,tapeworm pork,tenia solium"
C0039254,"taenia infection,teniasis"
C0039259,"tailed,tails"
C0039260,"formosa,republic of china"
C0039263,"aortic arch arteritis,aortic arch syndrome,arteritis takayasu,arteritis takayasu's,arteritis takayasus's,middle aortic syndrome,takayasu disease,takayasu syndrome,takayasu's arteritis,takayasu's disease,takayasus arteritis"
C0039267,talcum
C0039269,talents
C0039273,"cavus deformity,cavus foot deformity,talipes cavus"
C0039277,"anklebone,talus,talus bone"
C0039288,tampons
C0039290,"repeats tandem,tandem repeats"
C0039292,"alpha lipoprotein deficiency,disease tangiers,diseases tangiers"
C0039294,"tannic acid,tannins"
C0039309,populations targeted
C0039315,tars
C0039316,"ankle bones,bone tarsal,bones ankle,bones of ankle,of ankle bone,of ankle bones,tarsal bone,tarsal bones"
C0039319,syndrome tarsal tunnel
C0039328,tartrate
C0039336,"gustatory sense,perception taste,sense of taste,taste,taste sense,tastes"
C0039337,taste buds
C0039338,"disorder taste,disorders taste,taste disorder"
C0039339,taste thresholds
C0039343,procedures tattoo
C0039350,taufon
C0039371,taxes
C0039373,"deficiency hexosaminidase,disease sach tay,disease sach's tay,disease sachs tay,disease tay sach,disease tay sachs,disease tay-sachs,diseases sachs tay,diseases sachs tays,diseases tay sachs,tay sach's disease,tay sachs disease,tsd"
C0039401,"educate,educated,educating,education,educations,teach,teachings"
C0039402,"materials teaching,teaching materials"
C0039403,"method teach,method teaching,methods teaching"
C0039409,"tear,teardrop,tearing,tears"
C0039416,technetium tc 99m medronate
C0039421,technologies
C0039428,medical technology laboratory
C0039429,"pharmaceutical technology,pharmaceutics technology,technology pharmacy"
C0039431,"radiologic technologies,radiological technology"
C0039433,tectums
C0039437,teeth syndrome
C0039444,teichoic acids
C0039445,"disease osler weber rendu,disease rendu-osler-weber,osler rendu syndrome weber,osler rendu weber,osler rendus syndrome weber,osler weber rendu,osler weber rendu disease,osler weber rendu syndrome,osler's disease,osler-rendu-weber syndrome,osler-weber-rendu disease,osler-weber-rendu syndrome,rendu osler disease,rendu osler weber,rendu osler weber disease,rendu osler weber syndrome,rendu weber osler,rendu weber osler disease,rendu-osler-weber disease,rendu-osler-weber syndrome"
C0039446,"telangiectases,telangiectasia,telangiectasias,thread vein"
C0039449,telecommunication
C0039457,telephones
C0039461,"televisions,tv"
C0039462,"te,tellurium"
C0039476,temperatures
C0039478,"sensation temperature,temperature sense,thermoreception"
C0039482,"arteries temporal,arteris temporal,artery temporal,temporal arteri,temporal arteries"
C0039483,"arteritis cell giant,gca,giant cell arteritis,horton disease,horton's arteritis,horton's disease"
C0039484,"bone temporal,bones temporal,temporal bones"
C0039485,"temporal cortex,temporal lobes,temporal region"
C0039487,"muscle temporalis,temporal muscle,temporal muscles,temporalis muscle"
C0039493,"temporomandibular joint,temporomandibular joint (TMJ),TMJ,tmj temporomandibular joint"
C0039494,"disease tmj,disorder joint temporomandibular,disorder temporomandibular,disorders joint temporomandibular,disorders temporomandibular,disorders tmj,temporomandibular disorder,temporomandibular joint disease,temporomandibular joint diseases,temporomandibular joint disorder,tmj disease,tmj disorder,tmj disorders"
C0039496,"costen syndrome,costen's syndrome,costens syndrome,dysfunction tmj,jaw snap,jaw snapping,jaw snaps,mandibular dysfunction,pain-dysfunction syndrome,syndrome tmj,temporomandibular joint syndrome,tmj dysfunction"
C0039503,tendinitis
C0039504,"injuries tendon,injuries tendons,injury tendons,tendon injury"
C0039505,tendon transfers
C0039508,"structure tendon,tendons"
C0039511,mealworms
C0039516,"epicondylitis lateralis,lateral epicondylitis,lateral humeral epicondylitis,radiohumeral bursitis,tennis elbows"
C0039520,"tendinous synovitis,tendovaginitis,tenosynovitis,tenovaginitis"
C0039529,tensor tympani muscle
C0039536,teratogens
C0039538,"teratoid tumor,teratoid tumors,teratomas"
C0039543,terbutaline sulphate
C0039548,"care dying,care terminal,caring for the dying,caring patients terminal"
C0039552,ill terminally
C0039561,"terpenes,terpenoid,terpenoids"
C0039584,"disease testicular,disorder testes,disorders testes,disorders testicle,disorders testicles,disorders testicular,testes disorders,testicular disease,testicular disorder,testis disease,testis disorder"
C0039585,androgen-insensitivity syndrome
C0039590,"neoplasms testicular,testicular neoplasms,testicular tumors,testicular tumour,testicular tumours,testis tumor,testis tumors,tumor testicular,tumor testis"
C0039591,"orchialgia,pain in testis,teste pain,testes pain,testicle pain,testicular pain,testis pain"
C0039593,testing
C0039597,"balls (testicles),male gonad,testes,testicles,testis"
C0039601,testosterones
C0039602,"5 alpha reductase,5 alpha-reductase"
C0039607,propionate testosterone
C0039615,"antitoxin tetanus,antitoxins tetanus"
C0039620,"tetanus vaccines,vaccine tetanus"
C0039621,"tetani,tetanies"
C0039629,amethocaine
C0039635,"dioxin,tcdd"
C0039637,"perchlorethylene,tetrachlorethylene,tetrachloroethylene"
C0039663,"delta-9-tetrahydrocannabinol,dronabinol,tetrahydrocannabinol,THC"
C0039667,dhfr
C0039676,methionine synthetase
C0039685,"fallot of tetralogy,fallot tetralogy,fallot's tetralogy,fallots tetralogy,tetralogy fallot"
C0039704,tetrazolium salt
C0039705,"puffer fish toxin,tetradotoxin,tetrodotoxins,ttx"
C0039712,textbooks
C0039717,"clothed,cloths,fabric,fabrics,textile,textiles"
C0039727,nuclei thalamic
C0039729,thalamic
C0039730,"syndromes thalassemia,thalassaemia,thalassaemias,thalassemia disorder,thalassemias"
C0039743,"thanatophoric dwarf,thanatophoric dwarfism"
C0039747,"theca cell tumor,thecomas"
C0039748,theca cell
C0039751,"steal,steals,theft,thefts,thief"
C0039756,"tat,thematic apperception test"
C0039771,theophyllines
C0039786,"community therapeutic,therapeutic communities"
C0039789,"bioequivalence drugs,generic equivalency,therapeutic equivalency"
